Ciudad,Clima y Terreno,Alojamiento,Cuidado de la salud y el medio ambiente,Crimen,Transporte,Educación,Artes,Recreación,Economía,Indice_atractivo_z,Ranking
"Bryan-College-Station,TX",383,8228,640,1016,2530,2973,2002,1413,8040,-0.3141722443591771,186
"Eau-Claire,WI",257,7078,798,433,3197,2960,1807,1397,5348,-0.32071932564504363,187
"Hagerstown,MD",568,7763,818,627,3431,2990,825,1491,4477,-0.3208163171411293,188
"Boise-City,ID",592,8221,453,880,6575,2391,2385,1672,4633,-0.3229820762103361,189
"Fayetteville,NC",561,6274,872,1150,4402,3051,844,709,5255,-0.32354700785967894,190
"Lynchburg,VA",642,6934,732,643,4909,2803,1079,1439,4926,-0.32380175787083854,191
"Youngstown-Warren,OH",570,7021,1097,938,3374,2920,2797,1327,3894,-0.32837798302380644,192
"Mobile,AL",442,6704,1469,1511,3345,2779,1764,2164,4565,-0.32877535258570195,193
"Lowell,MA-NH",526,9640,1083,819,3820,2479,3057,1129,6651,-0.33466462085843535,194
"Fort-Collins-Lover=land,CO",490,9951,731,744,2637,2413,1609,4200,6631,-0.33505378856790824,195
"Hamilton-Middletown,OH",542,8227,1135,892,3338,2747,2316,1604,4618,-0.33713707853222047,196
"Roanoke,VA",652,7476,1036,784,3872,2723,1263,2036,5287,-0.3404068641404526,197
"Racine,WI",496,8943,931,1055,3558,2732,1171,2016,4415,-0.34438253976131344,198
"Amarillo,TX",609,6546,669,1073,4902,2852,1235,1109,6241,-0.3448032096675042,199
"Brockton,MA",575,8263,916,1336,3810,2729,2001,1217,6900,-0.3567229051220287,200
"Wilmington,NC",564,6858,1099,1423,2904,2876,1077,2668,5390,-0.3570847849311183,201
"Fresno,CA",559,9291,369,1483,4388,2407,3596,2984,5746,-0.36516354209982105,202
"Columbia,MO",541,7702,1951,1065,3893,2377,2882,1331,5147,-0.37564926847905256,203
"Bellingham,WA",772,8329,240,825,3776,2778,1302,3200,4247,-0.37657372000996175,204
"Lafayette,LA",429,8572,548,1030,5268,2305,1772,1734,9702,-0.37874153237033914,205
"Aurora-Elgin,IL",474,10384,1203,821,3943,2208,3857,1800,5097,-0.3851456845124483,206
"Johnson-City-Kingsport-Bristol,TN-VA",663,6119,1152,424,2532,2925,1925,2155,4903,-0.3862162836322572,207
"Augusta,GA-SC",534,6292,1798,872,2523,2915,1047,913,5431,-0.4051324857127944,208
"Elmira,NY",467,7078,562,582,3324,3000,1048,1600,4813,-0.40573226017743186,209
"Corpus-Christi,TX",362,6929,458,1335,3626,2840,1992,2037,6690,-0.4080987370047085,210
"Redding,CA",664,8584,274,892,5727,2471,845,2424,4459,-0.4168054660497195,211
"Vineland-Millville-Bridgeton,NJ",615,7295,807,1135,4133,2747,2097,1474,5023,-0.42052601851790544,212
"Niagara-Falls,NY",554,7686,507,775,5561,2538,966,1873,4463,-0.4307473519422953,213
"Lakeland-Winter-Haven,FL",307,6680,323,1373,3412,2998,309,2513,5594,-0.43352624729321715,214
"Fall-River,MA-RI",643,9017,900,861,4602,2439,749,2005,4884,-0.44738534860473034,215
"Lorain-Elyria,OH",579,8309,1105,609,3629,2582,2565,1602,3301,-0.45939166919852253,216
"Saginaw-Bay-City-Midland,MI",515,7368,1022,1068,3186,2772,1708,2059,3709,-0.46331311541014475,217
"Kileen-Temple,TX",365,6463,398,733,2862,3167,920,931,6331,-0.4658800119890871,218
"Wausau,WI",308,7642,818,442,3496,2749,761,1654,4300,-0.4827526408403353,219
"Evansville,IN-KY",550,6743,783,864,3496,2797,1876,1622,5206,-0.48787461555709005,220
"Oxnard-Ventura,CA",890,14000,1106,791,2238,2155,2769,2135,5514,-0.4927069710695495,221
"Lubbock,TX",604,6990,900,1608,4158,2545,3402,1702,5923,-0.4928464278854968,222
"Pensacola,FL",536,6479,563,1472,2918,2914,1954,2160,6029,-0.5036090850035332,223
"St.-Cloud,MN",195,7235,603,343,4565,2502,1871,1572,5488,-0.5082873561273678,224
"Great-Falls,MT",410,7143,667,792,3747,2737,401,2176,4697,-0.5125826187182568,225
"Sioux-City,IA-NE",385,6528,846,759,4316,2673,1393,1359,4648,-0.5215849838968528,226
"Midland,TX",603,8672,97,1166,5310,2416,438,1502,9980,-0.5224132616166002,227
"Jackson,MI",518,6794,679,1021,4800,2654,323,1933,3822,-0.5405473377619145,228
"Medford,OR",611,9008,256,728,3512,2797,1856,1416,3692,-0.543604984520088,229
"Terre-Haute,IN",557,5527,453,630,3550,3012,1226,1401,4353,-0.5625476740386585,230
"Canton,OH",575,7332,443,650,4279,2754,989,1157,4847,-0.5631925199040984,231
"Fort-Walton-Beach,FL",536,7554,484,544,2886,2809,87,2092,6342,-0.5673252591819818,232
"Springfield,MO",544,6343,577,892,3828,2709,1634,1737,5932,-0.5775969241676282,233
"Baton-Rouge,LA",427,8083,342,1565,3329,2635,4237,1413,6308,-0.578897953123963,234
"Bradenton,FL",440,8242,333,1093,3805,2712,154,1349,7437,-0.5791333461682422,235
"Wheeling,WV-OH",542,6576,791,308,2450,3002,422,1271,4740,-0.5859966923151515,236
"Dubuque,IA",419,7993,640,571,3668,2701,340,1587,3949,-0.5911425217227887,237
"Casper,WY",401,9839,345,989,4410,2453,303,1435,6303,-0.5938298460395994,238
"Lawrence,KS",513,7497,621,1018,2931,2700,3150,1752,4573,-0.5994138835919693,239
"York,PA",540,8371,713,440,2267,2903,1022,842,4946,-0.6090447191752748,240
"Kankakee,IL",483,7230,609,976,3444,2855,75,1119,5579,-0.6116031989699335,241
"Lima,OH",522,6986,741,855,4084,2629,1352,1428,4313,-0.6222401939549425,242
"Abilene,TX",521,6200,237,923,4031,2757,996,1405,7633,-0.626581994148854,243
"Bloomington,IN",558,7056,731,657,1746,2873,2152,1990,4829,-0.6304929150867339,244
"Flint,MI",540,7204,724,1671,4912,2511,2163,1355,3724,-0.6355676380507504,245
"Johnstown,PA",547,6524,731,353,4343,2691,666,903,4181,-0.639356677029566,246
"Peoria,IL",491,8388,1184,921,2967,2452,2294,1688,4073,-0.64364449676342,247
"Williamsport,PA",558,7284,860,464,3097,2906,196,726,3288,-0.6451952500200879,248
"Las-Cruces,NM",552,6962,588,1457,2989,2736,2804,1609,5341,-0.6579488234015348,249
"Decatur,IL",480,7395,732,897,3867,2683,298,1222,4274,-0.6658424566233674,250
"Olympia,WA",726,8263,338,752,4083,2625,708,1451,4912,-0.6665747271388939,251
"Altoona,PA",561,6191,432,399,4246,2778,256,1210,4230,-0.6785482299734615,252
"Fort-Smith,AR-OK",482,5784,466,663,3092,2927,145,1736,4849,-0.6810325660978511,253
"Waco,TX",412,6106,538,1166,3018,2867,1141,1248,6259,-0.6855423877662968,254
"Brazoria,TX",423,8394,438,768,2391,2718,1506,1512,6020,-0.691191755305598,255
"Beaumont-Port-Arthur,TX",423,6288,616,1313,2782,2745,1795,1813,6019,-0.7072084939151316,256
"Lewiston-Auburn,ME",490,6876,759,764,2941,2694,736,1853,4444,-0.7166237132555843,257
"Battle-Creek,MI",527,6342,900,1031,4652,2483,354,1648,4008,-0.719034366793984,258
"Bakersfield,CA",560,8068,420,1561,3725,2564,1222,1568,6056,-0.7291784451551269,259
"Rockford,IL",466,7584,969,1156,2987,2680,1026,933,4592,-0.7304282619404026,260
"Sharon,PA",570,6697,700,384,2017,3022,52,1100,4055,-0.7353632836764983,261
"Huntington-Ashland,WV-KY-OH",636,6632,875,665,4001,2525,2195,840,4383,-0.7417830626382618,262
"Sheboygan,WI",442,8121,593,450,3458,2557,268,1316,4765,-0.7587575355221955,263
"Enid,OK",461,6829,626,845,2312,2764,215,1200,8268,-0.7679120297861667,264
"Alexandria,LA",520,5819,640,727,2444,2972,334,1018,5254,-0.768901885741532,265
"Muskegon,MI",580,6391,699,1537,3353,2630,529,2666,3708,-0.76921178287405,266
"El-Paso,TX",592,7343,528,1323,3705,2479,3800,1101,5080,-0.7737877122809788,267
"Parkerburg-Marietta,WV-OH",617,6657,665,488,4399,2503,91,1148,5187,-0.7869839037237223,268
"Danville,VA",545,5709,593,379,3161,2943,85,501,4491,-0.7874047554463541,269
"Greeley,CO",490,8218,706,994,1641,2854,1254,739,5443,-0.7897637614301971,270
"Fitchburg-Leominster,MA",507,8252,655,655,2244,2799,270,790,5098,-0.7899507226131247,271
"Beaver-County,PA",586,7866,861,310,2960,2535,1284,1480,3119,-0.7906658199370563,272
"Pueblo,CO",497,6637,468,1181,3501,2653,1307,1619,4646,-0.7927946992419247,273
"Columbus,GA-AL",517,5817,833,820,2995,2665,1861,1214,4812,-0.8104364882317346,274
"Macon,Warner-Robbins,GA",447,6235,593,783,3144,2651,1435,1204,5659,-0.8180217760841546,275
"Tuscaloosa,AL",470,6464,674,1014,4723,2390,1432,1090,4900,-0.8185457891982569,276
"Longview-Marshall,TX",500,6608,509,976,2680,2816,334,834,6898,-0.8236949182227743,277
"Vancouver,WA",768,9015,517,752,3817,2332,1557,1464,4571,-0.8280850878874386,278
"Janesville-Beloit,WI",466,7447,700,858,3092,2532,1092,1615,4371,-0.8284054113349189,279
"Wichita-Falls,TX",456,6404,549,1179,2793,2747,599,1126,6805,-0.8337004148451843,280
"St.-Joseph,MO",475,5589,223,969,2689,2927,879,1265,5991,-0.8342636917078871,281
"Hickory,NC",623,6760,1006,765,2703,2726,188,797,4728,-0.8354728088714947,282
"Mansfield,OH",558,6881,303,1072,2876,2871,554,1133,4386,-0.8426576960411686,283
"Laredo,TX",424,6152,465,1050,3322,2827,150,702,5264,-0.8485048101559741,284
"Elkhart-Goshen,IN",521,6573,596,524,4168,2537,353,1023,4214,-0.8539381257954527,285
