Ciudad,Principal_PCA80,Promedio_directo,PCA_Kaiser,Prioridad_talento,Ajuste_sin_atípicos,Rank_Principal_PCA80,Rank_Promedio_directo,Rank_PCA_Kaiser,Rank_Prioridad_talento,Rank_Ajuste_sin_atípicos
"Battle-Creek,MI",-0.719034366793984,-0.8069146560709669,-0.5824916865165137,-0.7964103208712839,-0.58548200326728,258.0,268.0,238.0,276.0,227.0
"Beaumont-Port-Arthur,TX",-0.7072084939151316,-0.8110253096086436,-0.5724959847124343,-0.7565473871123919,-0.7488160792647885,256.0,270.0,236.0,271.0,263.0
"Beaver-County,PA",-0.7906658199370563,-0.8074845647776067,-0.88027140508894,-0.6960666373480109,-0.7759410250841804,272.0,269.0,292.0,256.0,267.0
"Bellingham,WA",-0.37657372000996175,0.31546916007647785,-0.4049026906871348,-0.5718425511650208,0.21590765227824407,204.0,102.0,201.0,234.0,106.0
"Benton-Harbor,MI",-1.068692989283994,-1.4593489079248727,-0.8816173991144888,-1.1759083835218356,-0.8696164470312823,308.0,322.0,293.0,311.0,282.0
"Bergen-Passaic,NJ",1.960108870078974,0.9820389953519602,1.7148016055347126,2.181006029282758,1.5187188057730765,12.0,42.0,20.0,11.0,26.0
"Billings,MT",0.22886778179908662,0.3387129877577902,0.12211773626013123,0.31752521164138525,0.19013891904865338,97.0,100.0,110.0,88.0,108.0
"Biloxi-Gulfport,MS",-0.9359097256770059,-0.28888469038253706,-0.938575791433544,-0.994493670615605,-0.7383687466703018,292.0,178.0,301.0,297.0,261.0
"Binghampton,NY",0.14737271407986002,0.6048234748777988,-0.035309256301814695,0.3366975883395926,0.18011774456423046,110.0,68.0,130.0,86.0,110.0
"Birmingham,AL",0.13470272022688273,0.2579319648025597,0.29294915463877497,0.12705414959789985,0.42003545644826035,112.0,107.0,90.0,120.0,84.0
"Bismarck,ND",-0.2448053616759569,-0.7871186898803052,-0.48716691147153734,0.036135953051554745,-1.137233882011568,167.0,265.0,220.0,127.0,312.0
"Bloomington,IN",-0.6304929150867339,-0.32623325962646166,-0.6735025073836126,-0.562074788112912,-0.5213255802787284,244.0,186.0,251.0,232.0,215.0
"Bloomington-Normal,IL",0.13923559520638124,0.24070237139877568,0.015760320493787318,0.2485071681686684,0.039346657744650175,111.0,109.0,120.0,98.0,127.0
"Boise-City,ID",-0.3229820762103361,-0.26902681779927023,-0.29442550679027374,-0.4328931259500094,-0.18034160567967136,189.0,175.0,176.0,203.0,165.0
"Boston,MA",3.6739545223770698,3.77973956871822,3.6918502939645252,3.687965058247506,3.5109069387280947,4.0,3.0,4.0,4.0,5.0
"Boulder-Longmont,CO",0.8624395383694206,0.8385932497922115,0.6641426498582782,0.6309952634450235,0.5024406961501683,54.0,54.0,62.0,57.0,77.0
"Bradenton,FL",-0.5791333461682422,-0.62160465796474,-0.6106178490675778,-0.5639384250221838,-0.773801141004462,235.0,236.0,244.0,233.0,266.0
"Brazoria,TX",-0.691191755305598,-0.9067384457347585,-0.783650569084302,-0.5989621563620638,-0.9907547648377445,255.0,281.0,272.0,240.0,300.0
"Bremerton,WA",-0.9978451104000587,-0.2898333630762906,-1.0917413861901186,-1.1211607665079262,-0.5963988948868169,300.0,179.0,311.0,308.0,231.0
"Bridgeport-Milford,CT",1.1976726341556208,0.8627508746975461,1.0208176340380708,1.2154755722662351,0.8820844779404498,34.0,53.0,42.0,36.0,50.0
"Bristol,CT",-0.26177655362371544,-0.3857483006617829,-0.44929711301842423,-0.11947875161407268,-0.5733098892459795,174.0,201.0,212.0,158.0,223.0
"Brockton,MA",-0.3567229051220287,-0.382197675977481,-0.2590745795741719,-0.4359975415837461,-0.27988189882521236,200.0,200.0,168.0,204.0,174.0
"Brownsville-Harlington,TX",-1.131124046581949,-0.7234855264014681,-1.0717880910267688,-1.28354653567443,-1.0729910824145763,312.0,256.0,309.0,317.0,308.0
"Bryan-College-Station,TX",-0.3141722443591771,-0.3171559667091783,-0.39755423519675853,-0.19082621845907638,-0.6451871480993242,186.0,182.0,199.0,168.0,244.0
"Buffalo,NY",1.1838235896252656,1.4443873543061332,1.2208312660527545,1.2100318946998259,1.2977458102218395,36.0,23.0,35.0,37.0,29.0
"Burlington,NC",-1.1761100516649334,-0.6511253648186033,-1.136678279217923,-1.1312351195070955,-0.979130460232024,316.0,240.0,319.0,309.0,299.0
"Burlington,VT",1.4476976331566205,1.8922009042530759,1.1249577074932058,1.6356476487545009,1.1322907605497452,32.0,18.0,38.0,25.0,37.0
"Canton,OH",-0.5631925199040984,-0.36577859184374134,-0.5924407149227368,-0.4766236182408708,-0.40705183065561296,231.0,195.0,241.0,217.0,195.0
"Casper,WY",-0.5938298460395994,-1.2122675354401236,-0.6700421827194516,-0.610545676424158,-1.035457174241556,238.0,314.0,250.0,244.0,303.0
"Cedar-Rapids,IA",-0.31353590814968313,-0.4608777695901406,-0.36512074152046003,-0.2358667739015919,-0.5044411380306805,185.0,212.0,195.0,172.0,213.0
"Champaign-Urbana-Rantoul,IL",0.6185552516268883,0.5736796074238658,0.6032539473809879,0.6821114761732164,0.775799013801682,62.0,70.0,65.0,55.0,57.0
"Charleston,SC",0.3439674598870783,0.3037844765072957,0.5149387113846352,0.23714076953332175,0.6466411263913837,84.0,104.0,70.0,99.0,66.0
"Charleston,WV",-0.07321380357984413,0.19911693055858043,-0.08670183351153195,0.030724336551409926,0.18486549443450556,140.0,115.0,140.0,128.0,109.0
"Charlotte-Gastonia-Rock-Hill,NC-SC",0.30682179687432687,0.5679473827000833,0.4639666281648106,0.27726746719376233,0.7526095456679216,90.0,72.0,73.0,94.0,60.0
"Charlottesville,VA",0.9601960730421828,1.2482791400469893,0.8175658812360452,1.1431879147375235,1.181369785216352,48.0,29.0,51.0,39.0,33.0
"Chattanooga,TN-GA",-1.0099616637784166,-0.8986248850076851,-0.8767325694522566,-1.076229570027452,-0.8234122343391617,303.0,280.0,291.0,306.0,272.0
"Chicago,IL",4.083256423937663,3.934888348466162,4.117101864924558,4.208282855271194,3.7263609503066353,2.0,2.0,2.0,2.0,3.0
"Chico,CA",-0.14354532096585562,-0.14819258326228152,-0.16262020308743141,-0.087029773431677,0.10667928980877944,151.0,159.0,146.0,152.0,117.0
"Cincinnati,OH-KY-IN",1.0412374849557526,1.386824119581577,1.0850104229253734,1.0039984961200406,1.1580004833707713,46.0,24.0,40.0,42.0,34.0
"Clarksville-Hopkinsville,TN-KY",-1.0052528250130441,-0.5172540228410402,-1.0035656627666412,-1.0217056369203028,-0.8343901952888674,302.0,221.0,308.0,300.0,274.0
"Cleveland,OH",1.9884018107575843,2.1901153546834418,2.053414345077643,1.8723382670925586,2.0370239635834615,11.0,12.0,10.0,19.0,12.0
"Colorado-Springs,CO",-0.2462397844074103,0.18280922201121708,-0.30658299192107147,-0.3280149776344853,-0.2906754751368275,169.0,118.0,179.0,189.0,176.0
"Columbia,MO",-0.37564926847905256,-0.5549925071897399,-0.26541518437176564,-0.4508786339673408,-0.4836413583379303,203.0,226.0,172.0,208.0,208.0
"Columbia,SC",0.21762098070614747,-0.14607578539195884,0.4274197213391789,0.13891280810363757,0.3751314060529058,98.0,158.0,78.0,115.0,90.0
"Columbus,GA-AL",-0.8104364882317346,-0.623894473307673,-0.7342550280697299,-0.7526488431615873,-0.7112236018666729,274.0,237.0,264.0,270.0,252.0
"Columbus,OH",0.49275971947465386,0.4886278526509739,0.5679194623570542,0.47501284754852524,0.5572667696864393,69.0,78.0,67.0,70.0,73.0
"Corpus-Christi,TX",-0.4080987370047085,-0.5662380927635151,-0.33026092427928755,-0.43647435028622766,-0.5747178008271007,210.0,227.0,184.0,205.0,224.0
"Cumberland,MD-WV",-0.14865454062611472,0.5219652551022838,-0.25247804963927795,0.16931743906940788,0.20586032748603336,152.0,73.0,166.0,110.0,107.0
"Dallas,TX",1.8101177726649116,1.972509048797065,1.9018519813554873,1.7624703667222759,1.8091277067132614,18.0,16.0,14.0,23.0,16.0
"Danbury,CT",1.0755027869078932,0.49152558559266163,0.7422454367614922,1.2446590090214016,0.45814078454918344,44.0,77.0,55.0,34.0,80.0
"Danville,VA",-0.7874047554463541,-0.41804636887659213,-0.830899017522488,-0.5192818287121524,-0.606453776014476,269.0,206.0,282.0,225.0,234.0
"Davenport-Rock-Island-Moline,IA-IL",-0.1251223560868273,-0.36245790437233416,-0.17252778177077085,-0.03629371938461038,-0.2904810495058098,147.0,194.0,149.0,142.0,175.0
"Dayton-Springfield,OH",0.37648637023366893,0.039475094137893935,0.5442921084540632,0.3880568507447643,0.38128539959880986,78.0,136.0,68.0,77.0,89.0
"Daytona-Beach,FL",-0.27095203889788333,0.45476653788442445,-0.22004316384741335,-0.5852401084413205,-0.03892579090620902,176.0,80.0,160.0,237.0,144.0
"Decatur,IL",-0.6658424566233674,-1.054971579475982,-0.6175857249680262,-0.6135432530586854,-0.7141210993745903,250.0,304.0,245.0,245.0,253.0
"Denver,CO",1.9307506043733649,1.7932989847731475,1.9291789799835457,1.8897918623131218,1.7986618351013914,14.0,19.0,13.0,18.0,17.0
"Des-Moines,IA",-0.05433683123723207,-0.3083845816190593,-0.022451350376901578,-0.0786894389540576,-0.22689008511824008,134.0,181.0,127.0,150.0,169.0
"Detroit,MI",1.591119868456046,0.9330836444145912,1.859104731850134,1.4949734163681123,1.538190115277914,26.0,48.0,15.0,30.0,24.0
"Dothgan,AL",-1.5338219328078313,-1.897832420449358,-1.4399978206637445,-1.4891785719952018,-1.914745378519036,327.0,329.0,326.0,324.0,328.0
"Dubuque,IA",-0.5911425217227887,-1.011701783834108,-0.6748581537736758,-0.4603066610558667,-0.8337943047135503,237.0,296.0,252.0,211.0,273.0
"Duluth,MN-WI",-0.0720875343933409,-0.18024490394095158,-0.18130618374844662,0.04858473542499062,-0.6043833293822651,138.0,165.0,153.0,123.0,233.0
"East-St.-Louis-Belleville,IL",-0.29955630272030975,0.12971919517100008,-0.21952462421932364,-0.37027293072144857,-0.07279420293498252,182.0,124.0,159.0,193.0,150.0
"Eau-Claire,WI",-0.32071932564504363,-0.5835321511324572,-0.4810699717819104,-0.00465421360740981,-0.8418773667108584,187.0,234.0,219.0,135.0,276.0
"El-Paso,TX",-0.7737877122809788,-1.0094860746746257,-0.5711378018715126,-0.9158735424487766,-0.5913492599109755,267.0,295.0,234.0,287.0,229.0
"Elkhart-Goshen,IN",-0.8539381257954527,-0.7412474271808233,-0.872255541160061,-0.7508214412252275,-0.8206727240494625,285.0,260.0,290.0,269.0,271.0
"Elmira,NY",-0.40573226017743186,-0.3182081743855561,-0.4875951979052907,-0.22667562299671024,-0.42293946995360404,209.0,183.0,221.0,170.0,198.0
"Enid,OK",-0.7679120297861667,-0.1813182153941615,-0.8445567221873166,-0.6658288686074213,-0.9070013863828802,264.0,166.0,285.0,251.0,290.0
"Erie,PA",-0.3086329407649388,-0.12035182736011196,-0.32872406259128545,-0.2765848377181915,-0.10326756340001242,184.0,150.0,182.0,182.0,157.0
"Eugene-Springfield,OR",0.4017298284440473,0.6123374974039661,0.3713917568756573,0.2701319448554247,0.97470787219018,76.0,67.0,82.0,95.0,47.0
"Evansville,IN-KY",-0.48787461555709005,-0.2254681318328288,-0.4559924340312482,-0.45818917261556646,-0.3365702609004451,220.0,168.0,215.0,209.0,185.0
"Fall-River,MA-RI",-0.44738534860473034,-0.3675591939281407,-0.4662391317813617,-0.5757400984312105,-0.3333302817128592,215.0,196.0,217.0,235.0,184.0
"Fargo-Moorhead,ND-MN",-0.05960634934944436,-0.6964966487404344,-0.23456009425854993,0.16989403807873357,-0.9243045436199567,136.0,250.0,163.0,109.0,291.0
"Fayetteville,NC",-0.32354700785967894,-0.3192594921932599,-0.17667090998566504,-0.23696531837117876,-0.025978293844480294,190.0,184.0,151.0,173.0,142.0
"Fayettteville-Sprindale,AR",-0.9355838751161735,-0.5512495262790964,-0.9629476693716315,-0.9480438892158539,-0.9020865063703332,291.0,225.0,302.0,293.0,288.0
"Fitchburg-Leominster,MA",-0.7899507226131247,-1.0765915605028586,-0.8562222098701165,-0.6285568521074874,-0.92491591400145,271.0,305.0,287.0,250.0,292.0
"Flint,MI",-0.6355676380507504,-1.4578753374750018,-0.3057943662480089,-0.8505291107702285,-0.44138574854996254,245.0,321.0,178.0,282.0,199.0
"Florence,AL",-1.3984689909221295,-1.1432768042334902,-1.3924755133066888,-1.3196898186900998,-1.370110120672943,324.0,309.0,325.0,319.0,323.0
"Florence,SC",-0.207524395281571,-0.4646242468068125,-0.008819995599938816,-0.1576882115982731,0.12058401342381594,158.0,214.0,126.0,163.0,115.0
"Fort-Collins-Lover=land,CO",-0.33505378856790824,0.1018903575899507,-0.5625502826534844,-0.5403225438323872,-0.6367198932771478,195.0,127.0,232.0,230.0,243.0
"Fort-Lauderdale-Hollywood-Pompano-Beach,FL",0.17085531471999318,-0.17032594005105725,0.20186310404943023,-0.04783908090688985,0.08064881446355894,105.0,163.0,100.0,144.0,122.0
"Fort-Myers,FL",0.09749188590506579,0.4161586947623901,-0.15294138111499211,0.029809825575863497,-0.326049384723954,119.0,87.0,145.0,129.0,183.0
"Fort-Pierce,FL",-0.26500100300450485,-0.02339629020143213,-0.24853537860092995,-0.34102657620775945,-0.07244200457660195,175.0,143.0,165.0,191.0,149.0
"Fort-Smith,AR-OK",-0.6810325660978511,-0.3289866164887756,-0.700961236839077,-0.5534272915172173,-0.5603384484078208,253.0,188.0,258.0,231.0,222.0
"Fort-Walton-Beach,FL",-0.5673252591819818,0.07270167467098178,-0.7238288487399501,-0.49008453282043873,-0.5471685903812422,232.0,134.0,262.0,219.0,217.0
"Fort-Wayne,IN",-0.07230763059692531,0.07306185837259785,-0.057684788813255554,-0.0027070332867169507,0.018450108977437027,139.0,133.0,132.0,134.0,131.0
"Forth-Arlington,TX",0.07619119583528569,0.3060118420911425,0.1728151142253918,-0.09944256575122405,0.09764912428640014,121.0,103.0,105.0,154.0,120.0
"Fresno,CA",-0.36516354209982105,-0.5781701744329585,-0.2630003010965396,-0.6989847077762904,-0.32581172729024876,202.0,231.0,171.0,258.0,182.0
"Gadsden,AL",-1.605469531801174,-1.666365441252704,-1.479776363724037,-1.5518034919023271,-1.5682792710025213,328.0,326.0,327.0,326.0,325.0
"Gainesville,FL",0.121583665561784,-0.6705312951146543,0.35133758419628885,0.138744716372516,-0.009756130957188898,116.0,246.0,86.0,116.0,139.0
"Galveston-Texas-City,TX",-0.0529603640380886,0.7061823114419341,0.015072336091859283,-0.2747286261860974,0.4077654571413202,132.0,63.0,121.0,181.0,85.0
"Gary-Hammond,IN",0.008202728800814376,-0.3257153038171364,0.10211012287888524,-0.054256340245375276,-0.04849051855599199,128.0,185.0,113.0,147.0,146.0
"Glens-Falls,NY",-0.9998133306341536,-0.7950486500656014,-1.0965110507693607,-0.9254812423286584,-1.0648340451578977,301.0,266.0,312.0,289.0,306.0
"Grand-Forks,ND",0.03735016838238177,-0.618067276589577,-0.17389599549412055,0.3751217018549856,-0.8959404126199906,126.0,235.0,150.0,79.0,285.0
"Grand-Rapids,MI",-0.2502124992961513,-0.3715681454427733,-0.21261854547795828,-0.26400380280033603,-0.295740658040728,171.0,197.0,158.0,176.0,178.0
"Great-Falls,MT",-0.5125826187182568,-0.6286099884099816,-0.5454373928005115,-0.46447456747998517,-0.6609886032915607,225.0,239.0,227.0,212.0,246.0
"Greeley,CO",-0.7897637614301971,-1.3149903519840198,-0.7596343305302324,-0.683358493416216,-0.9291641371486047,270.0,316.0,270.0,254.0,295.0
"Green-Bay,WI",-0.28689078709926047,-0.43427962484700217,-0.4324699168950219,-0.17667404075680565,-0.7310278615936002,181.0,208.0,208.0,165.0,258.0
"Greensboro-Winston-Salem-High-Point,NC",0.3451959216173333,0.7316132495763209,0.41470368011242276,0.3955677396825632,0.6611376148589749,83.0,60.0,79.0,74.0,65.0
"Greenville-Spartanburg,SC",0.0559574438172694,0.3708704160746158,0.2139855831544321,0.09033900406552656,0.5738238924927686,122.0,95.0,98.0,122.0,72.0
"Hagerstown,MD",-0.3208163171411293,-0.2504643865832771,-0.3802639445162277,-0.18762243817409627,-0.19537603270268808,188.0,172.0,196.0,167.0,167.0
"Hamilton-Middletown,OH",-0.33713707853222047,-0.567435421948751,-0.31945627133846954,-0.3184901447262187,-0.35387539629110976,196.0,228.0,180.0,185.0,190.0
"Harrisburg-Lebanon-Carlisle,PA",0.8892586973813678,1.2466122262777484,0.8091116883700715,1.093566949076903,0.989255084625281,50.0,30.0,52.0,40.0,45.0
"Hartford,CT",1.8930261471423933,1.2363520697499155,1.8309644072952078,2.033058010536054,1.762521118944797,16.0,31.0,17.0,13.0,18.0
"Hickory,NC",-0.8354728088714947,-0.6704228225343813,-0.7842411274672224,-0.7610044134000757,-0.6177321609486474,282.0,245.0,273.0,272.0,239.0
"Honolulu,HI",1.1686148922632194,0.35547766534931446,0.8774826673871128,0.8708680042767312,0.8397550424179736,37.0,99.0,48.0,51.0,53.0
"Houma-Thibodaux,LA",-1.4381643787025216,-0.7477116912843806,-1.6233800756659862,-1.5109478775035523,-1.8559915212092977,325.0,261.0,328.0,325.0,327.0
"Houston,TX",1.4596429447815198,1.0124613660325918,1.533002763764698,1.5046644838722065,1.1435620205702932,30.0,40.0,22.0,29.0,36.0
"Huntington-Ashland,WV-KY-OH",-0.7417830626382618,-0.4486550598968528,-0.687706776402549,-0.70704487266203,-0.4981050505628316,262.0,210.0,255.0,260.0,211.0
"Huntsville,AL",-1.2072610667715722,-0.6633848602081343,-1.126170427917142,-1.2969591387423736,-1.088850679116776,317.0,243.0,316.0,318.0,309.0
"Indianapolis,IN",0.5202528218467268,0.8083426090187477,0.6226203599724546,0.4829039823284508,0.6085616886638827,66.0,56.0,63.0,68.0,70.0
"Iowa-City,IA",0.16050469680527046,-0.46383529972996806,0.0992296094278864,0.29328242754189915,-0.29411261645300624,106.0,213.0,114.0,90.0,177.0
"Jackson,MI",-0.5405473377619145,-0.7018846335826958,-0.43801415946372707,-0.5981669761168567,-0.3899515129130846,228.0,252.0,211.0,239.0,192.0
"Jackson,MS",0.4280983353379819,0.09032415931618457,0.49877854080365824,0.5683845807000623,0.3113559661839445,72.0,129.0,72.0,61.0,95.0
"Jacksonville,FL",0.3921648845796741,0.7937689519114904,0.4423799494632017,0.3446084689430054,0.5141953642667947,77.0,57.0,76.0,83.0,75.0
"Jacksonville,NC",-1.0624240307007722,-0.6263132283705983,-0.9960153049336887,-1.0580814473467295,-0.9288845849125539,307.0,238.0,307.0,304.0,294.0
"Janesville-Beloit,WI",-0.8284054113349189,-1.1495754623588517,-0.7998917864658766,-0.8253675572435232,-0.9586237469009392,279.0,310.0,277.0,279.0,298.0
"Jersey-City,NJ",0.1763126812163793,-0.4053853448368576,0.4011994863908149,0.04626731340693576,0.22588465460741428,104.0,204.0,80.0,125.0,105.0
"Johnson-City-Kingsport-Bristol,TN-VA",-0.3862162836322572,0.6433596383768624,-0.4612892363992979,-0.30003031612592,-0.008883011002229591,207.0,66.0,216.0,184.0,138.0
"Johnstown,PA",-0.639356677029566,-0.34339343333820405,-0.7043262971759399,-0.45908152822800763,-0.544773069821832,246.0,190.0,259.0,210.0,216.0
"Joliet,IL",0.11436868025997206,-0.38624189681075677,0.06513973160636206,0.19213565220139392,-0.06246149927496895,117.0,202.0,116.0,105.0,148.0
"Joplin,MO",-1.010421121121551,-0.39570713924310597,-0.9864396897136456,-0.8544756059221263,-0.7160881825011859,304.0,203.0,305.0,285.0,254.0
"Kalamazoo,MI",0.13398575053443204,0.01965516253277428,0.19475707277265122,0.0909703102256888,0.2545239446267938,113.0,139.0,102.0,121.0,102.0
"Kankakee,IL",-0.6116031989699335,-0.7509315058661032,-0.5802745213621733,-0.530032079023064,-0.6190788885544868,241.0,262.0,237.0,229.0,241.0
"Kansas-City,KS",0.2521744397655907,0.17221448616337476,0.3072483911453133,0.32529514359032446,0.3104162093355499,94.0,120.0,89.0,87.0,96.0
"Kansas-City,MO",0.6061718545675175,0.49436836669902423,0.8299746301161498,0.5053638062679555,0.8309423546046582,63.0,76.0,50.0,66.0,54.0
"Kenosha,WI",0.1973887912591425,0.11734298290385321,0.1652484302040905,0.21950564005376316,0.1466433414323425,100.0,126.0,108.0,103.0,113.0
"Kileen-Temple,TX",-0.4658800119890871,-0.4449879634963793,-0.531600113648673,-0.18723975382042157,-0.6352606180691782,218.0,209.0,226.0,166.0,242.0
"Knoxville,TN",-0.1273514723284432,0.9666687882533321,-0.17804170757489166,-0.1671224214583652,0.26355863959814624,148.0,44.0,152.0,164.0,100.0
"Kokomo,IN",-0.9321474796364079,-1.045893811569213,-0.9803191437585947,-0.7046999424384996,-0.8977260219899822,289.0,302.0,303.0,259.0,286.0
"La-Crosse,WI",0.3137773655082236,0.18222481525164014,0.16691532978767853,0.49268533312851864,0.034749085409959246,89.0,119.0,106.0,67.0,128.0
"Lafayette,IN",-0.022584192549365296,0.09249085376440479,-0.1425101049309905,0.1382084202263231,-0.019762685047761325,129.0,128.0,143.0,117.0,141.0
"Lafayette,LA",-0.37874153237033914,0.21510820330144081,-0.4925724472249229,-0.46834087915333855,-0.7383603341371545,205.0,112.0,222.0,214.0,260.0
"Lake-Charles,LA",-0.9949683215090439,-0.9515691816119177,-0.922727371756685,-1.1196991014715671,-1.069760530001477,298.0,286.0,297.0,307.0,307.0
"Lake-County,IL",0.2294169072151287,-0.5813476643216487,0.010567012386768755,0.1729237499366613,-0.3050459152437397,96.0,233.0,124.0,108.0,180.0
"Lakeland-Winter-Haven,FL",-0.43352624729321715,-0.8726842548329878,-0.3445183652564566,-0.44753928195728837,-0.606754910035798,214.0,278.0,189.0,207.0,235.0
"Lancaster,PA",0.018674424542562074,0.14291347690568648,-0.14563365859451985,0.2615085425272028,0.016453785838832297,127.0,122.0,144.0,97.0,133.0
"Lansing-East-Lansing,MI",0.31717137508302207,0.13444535486017156,0.3360544924720666,0.39349580991515937,0.26689000883690195,86.0,123.0,87.0,75.0,98.0
"Laredo,TX",-0.8485048101559741,-1.1519871578593943,-0.7449347091077864,-0.734742441981189,-0.8863269609012809,284.0,311.0,267.0,267.0,283.0
"Las-Cruces,NM",-0.6579488234015348,-0.8679952301875189,-0.4494123329095371,-0.7880870934564138,-0.4588726248814535,249.0,277.0,213.0,274.0,204.0
"Las-Vegas,NV",-0.20853490053010437,-0.5285669491858963,-0.03934112467000863,-0.7632100303914214,-0.13897102794669614,160.0,222.0,131.0,273.0,161.0
"Lawrence,KS",-0.5994138835919693,-0.8364495976878017,-0.525883107305306,-0.6280787297361167,-0.5770890456257034,239.0,272.0,225.0,248.0,226.0
"Lawrence-Haverhill,MA-NH",-0.24630255323277592,-0.40796233497791795,-0.34734297832311095,-0.3198053460608174,-0.5166779073067869,170.0,205.0,191.0,186.0,214.0
"Lawton,OK",-1.2100997258484572,-0.9872709630374569,-1.0865268364772838,-1.3291899118258836,-1.2099851312596677,318.0,290.0,310.0,320.0,318.0
"Lewiston-Auburn,ME",-0.7166237132555843,-0.7196195041706657,-0.7137870450891888,-0.6782544336232882,-0.7262350406384522,257.0,255.0,261.0,252.0,257.0
