nro_area_comunitaria,community,area_km2,homicidio,robo,total,robo_por_km2,homicidio_por_km2,total_por_km2
21,AVONDALE,5.132936209682001,0,180,180,35.067647959558705,0.0,35.067647959558705
22,LOGAN SQUARE,9.288854881953746,0,520,520,55.98106619258834,0.0,55.98106619258834
23,HUMBOLDT PARK,9.328244684562623,12,319,331,34.19721617379048,1.2864156554403943,35.48363182923087
24,WEST TOWN,11.842194028136166,1,798,799,67.38616155959038,0.08444381147818342,67.47060537106856
25,AUSTIN,18.498319925243184,15,671,686,36.27356444864702,0.810884451162005,37.084448899809026
26,WEST GARFIELD PARK,3.3507306067590403,5,142,147,42.37881723871202,1.492211874602536,43.871029113314556
27,EAST GARFIELD PARK,5.002269903132481,6,235,241,46.97867259278437,1.199455470454069,48.17812806323844
28,NEAR WEST SIDE,14.713428325045632,2,912,914,61.98419429192901,0.13593025064019518,62.1201245425692
29,NORTH LAWNDALE,8.307642494482451,12,277,289,33.34279251712751,1.4444531054351268,34.78724562256264
3,UPTOWN,6.043042934366457,0,266,266,44.017559181529634,0.0,44.017559181529634
30,SOUTH LAWNDALE,11.882815954581769,4,206,210,17.33595814219193,0.33662054645032874,17.67257868864226
31,LOWER WEST SIDE,7.57066220622395,1,147,148,19.41705969646211,0.13208884147253136,19.549148537934645
33,NEAR SOUTH SIDE,4.620205212061157,0,145,145,31.383887369650594,0.0,31.383887369650594
34,ARMOUR SQUARE,2.5776018418320135,1,88,89,34.1402611419049,0.3879575129761921,34.528218654881094
10,NORWOOD PARK,11.322618219300441,0,98,98,8.655241932731602,0.0,8.655241932731602
8,NEAR NORTH SIDE,7.118003341570241,0,1559,1559,219.0220944257217,0.0,219.0220944257217
32,LOOP,4.301423448060419,0,1589,1589,369.4125954319856,0.0,369.4125954319856
43,SOUTH SHORE,7.594657399806032,6,397,403,52.27358906408858,0.7900290538653186,53.0636181179539
44,CHATHAM,7.641960258714635,4,420,424,54.95972051425498,0.5234259096595713,55.48314642391455
45,AVALON PARK,3.235392223975514,0,63,63,19.472136804046666,0.0,19.472136804046666
46,SOUTH CHICAGO,8.658353316413255,6,153,159,17.670796560122433,0.6929724141224484,18.36376897424488
47,BURNSIDE,1.5777504900125456,0,12,12,7.605765345003683,0.0,7.605765345003683
59,MCKINLEY PARK,3.660611318583198,1,75,76,20.488381167172914,0.27317841556230554,20.76155958273522
6,LAKE VIEW,8.09643749965812,1,762,763,94.11546745493635,0.12351111214558577,94.23897856708194
48,CALUMET HEIGHTS,4.532529506122039,1,68,69,15.002660194082164,0.22062735579532594,15.22328754987749
49,ROSELAND,12.468599090501096,7,270,277,21.65439742189586,0.5614103035306334,22.215807725426494
5,NORTH CENTER,5.296593106232815,0,99,99,18.691260214703075,0.0,18.691260214703075
50,PULLMAN,5.477165108303161,2,60,62,10.954572084935402,0.36515240283118006,11.319724487766582
51,SOUTH DEERING,28.201380171730314,0,128,128,4.53878495380556,0.0,4.53878495380556
52,EAST SIDE,7.727178703392501,2,37,39,4.788293557098105,0.2588266787620597,5.047120235860165
53,WEST PULLMAN,9.22431372146981,2,142,144,15.394099147938952,0.2168182978582951,15.610917445797249
54,RIVERDALE,9.13360026352826,0,47,47,5.145835009626769,0.0,5.145835009626769
55,HEGEWISCH,13.549805897309879,0,28,28,2.0664502659450643,0.0,2.0664502659450643
56,GARFIELD RIDGE,10.944726480271338,0,164,164,14.98438542942319,0.0,14.98438542942319
57,ARCHER HEIGHTS,5.191636034741347,0,64,64,12.327520568030065,0.0,12.327520568030065
58,BRIGHTON PARK,7.045514692655338,0,109,109,15.470835667070293,0.0,15.470835667070293
60,BRIDGEPORT,5.411376262889763,0,90,90,16.63162855948563,0.0,16.63162855948563
61,NEW CITY,12.498811102789535,3,206,209,16.48156759117866,0.24002282899774746,16.72159042017641
62,WEST ELSDON,3.036772327831221,0,66,66,21.733601625359707,0.0,21.733601625359707
63,GAGE PARK,5.689383197589045,0,102,102,17.928129721201397,0.0,17.928129721201397
64,CLEARING,6.604979639871123,0,29,29,4.390626706090172,0.0,4.390626706090172
65,WEST LAWN,7.641846624105384,1,124,125,16.226444483831344,0.13085842325670438,16.357302907088048
66,CHICAGO LAWN,9.123770849222414,6,270,276,29.593027319730542,0.6576228293273454,30.250650149057886
67,WEST ENGLEWOOD,8.164513351020886,5,289,294,35.397088298454875,0.612406371945586,36.00949467040046
68,ENGLEWOOD,7.951338819003447,4,218,222,27.41676652980589,0.5030599363267135,27.919826466132605
69,GREATER GRAND CROSSING,9.176699438654653,9,289,298,31.492804349966676,0.9807447721442909,32.47354912211097
7,LINCOLN PARK,8.198678660118679,3,522,525,63.66879611213398,0.36591262133410335,64.03470873346808
70,ASHBURN,12.575528458546668,0,113,113,8.98570587888115,0.0,8.98570587888115
71,AUBURN GRESHAM,9.75356439047038,4,331,335,33.93631156250941,0.4101064841390865,34.346418046648495
72,BEVERLY,8.241752419198468,0,85,85,10.313340619405123,0.0,10.313340619405123
73,WASHINGTON HEIGHTS,7.392825464327596,1,164,165,22.183669936662895,0.13526628010160302,22.3189362167645
74,MOUNT GREENWOOD,7.0169211373000655,0,21,21,2.9927655718360078,0.0,2.9927655718360078
75,MORGAN PARK,8.529326802468761,0,124,124,14.538075849562825,0.0,14.538075849562825
76,OHARE,34.522423583801,0,163,163,4.7215688552203705,0.0,4.7215688552203705
77,EDGEWATER,4.497787526752009,0,228,228,50.69158973026141,0.0,50.69158973026141
9,EDISON PARK,2.937112005044837,0,19,19,6.468939545841375,0.0,6.468939545841375
