resena_id,theta_comida,theta_servicio,theta_precio,theta_ambiente,prop_comida,prop_servicio,prop_precio,prop_ambiente,tema_dominante,n_oraciones
52,0.779911,0.062464,0.153282,0.004343,0.5,0.0,0.5,0.0,comida,4
53,0.032978,0.159496,0.803664,0.003862,0.0,0.333333,0.666667,0.0,precio,3
54,0.041748,0.072878,0.884608,0.000766,0.0,0.0,1.0,0.0,precio,4
55,0.014835,0.493144,0.179101,0.31292,0.0,0.571429,0.142857,0.285714,servicio,7
56,0.264239,0.103218,0.052203,0.58034,0.0,0.25,0.0,0.75,ambiente,4
57,0.885484,0.10172,0.005075,0.007721,0.333333,0.666667,0.0,0.0,servicio,3
58,5.8e-05,0.20409,0.794784,0.001068,0.0,0.4,0.6,0.0,precio,5
59,0.046531,0.044899,0.271344,0.637226,0.0,0.25,0.25,0.5,ambiente,4
60,0.326773,0.181094,0.082027,0.410105,0.375,0.125,0.0,0.5,ambiente,8
61,0.779494,0.035658,0.179119,0.005729,0.8,0.2,0.0,0.0,comida,5
62,0.017517,0.780527,0.139811,0.062144,0.0,0.833333,0.166667,0.0,servicio,6
63,0.103482,0.872291,0.023277,0.000949,0.0,1.0,0.0,0.0,servicio,8
64,0.012426,0.435066,0.001016,0.551491,0.0,0.666667,0.0,0.333333,servicio,6
65,0.017129,0.224535,0.387756,0.370581,0.0,0.125,0.375,0.5,ambiente,8
66,0.290174,0.177423,7e-05,0.532333,0.375,0.25,0.0,0.375,comida,8
67,0.012582,0.15166,0.046949,0.788809,0.0,0.285714,0.0,0.714286,ambiente,7
68,0.892176,0.022326,0.003569,0.081929,1.0,0.0,0.0,0.0,comida,4
69,0.004531,0.988055,0.007357,5.7e-05,0.0,1.0,0.0,0.0,servicio,4
70,0.774959,0.107402,0.010705,0.106934,1.0,0.0,0.0,0.0,comida,7
71,0.039473,0.035147,0.234157,0.691224,0.0,0.0,0.0,1.0,ambiente,3
72,0.123279,0.529152,0.081354,0.266215,0.0,0.5,0.0,0.5,servicio,4
73,0.087313,0.868099,0.030198,0.01439,0.125,0.875,0.0,0.0,servicio,8
74,0.021055,0.747847,0.230586,0.000513,0.0,0.714286,0.285714,0.0,servicio,7
75,0.338659,0.008122,0.652947,0.000272,0.333333,0.0,0.666667,0.0,precio,3
76,0.500238,0.414413,0.072071,0.013279,0.666667,0.0,0.0,0.333333,comida,3
77,0.199551,0.032388,0.289287,0.478774,0.2,0.0,0.2,0.6,ambiente,5
78,0.066278,0.043821,0.253293,0.636608,0.0,0.166667,0.333333,0.5,ambiente,6
79,0.475196,0.277649,0.187047,0.060108,1.0,0.0,0.0,0.0,comida,5
80,0.667287,0.020836,0.303431,0.008447,0.666667,0.333333,0.0,0.0,comida,3
81,0.044352,0.940748,0.013707,0.001192,0.0,1.0,0.0,0.0,servicio,4
82,0.220906,0.252082,0.040787,0.486225,0.0,0.333333,0.0,0.666667,ambiente,3
83,0.262526,0.110721,0.594688,0.032065,0.0,0.25,0.75,0.0,precio,8
84,0.321147,1.8e-05,0.667837,0.010999,0.25,0.0,0.75,0.0,precio,4
85,0.082203,0.886865,0.000908,0.030024,0.0,1.0,0.0,0.0,servicio,3
86,0.045674,0.359047,0.430997,0.164281,0.0,0.5,0.5,0.0,servicio,6
87,0.934205,0.056227,0.002715,0.006852,1.0,0.0,0.0,0.0,comida,3
88,0.207943,0.435959,9e-06,0.356089,0.0,0.375,0.0,0.625,ambiente,8
89,0.425669,0.130283,0.353725,0.090323,0.222222,0.111111,0.555556,0.111111,precio,9
90,0.010547,0.924921,0.00288,0.061651,0.0,0.875,0.0,0.125,servicio,8
91,0.101881,0.697497,0.058572,0.14205,0.0,0.5,0.0,0.5,servicio,4
92,0.496719,0.142936,0.121503,0.238842,0.333333,0.0,0.333333,0.333333,comida,3
93,0.036753,0.165089,0.069021,0.729137,0.0,0.2,0.0,0.8,ambiente,5
94,0.154964,0.09868,0.539466,0.20689,0.333333,0.222222,0.444444,0.0,precio,9
95,0.27679,0.374119,0.037147,0.311944,0.25,0.25,0.0,0.5,ambiente,8
96,0.804319,0.064428,0.106015,0.025239,0.75,0.0,0.0,0.25,comida,4
97,1e-06,0.890606,0.004159,0.105235,0.0,1.0,0.0,0.0,servicio,9
98,0.012834,0.007085,0.978383,0.001697,0.0,0.0,1.0,0.0,precio,4
99,0.194584,0.144965,0.323712,0.336738,0.125,0.25,0.25,0.375,ambiente,8
100,0.011119,0.698572,0.286319,0.00399,0.0,1.0,0.0,0.0,servicio,4
101,0.048965,0.002854,0.00095,0.947231,0.111111,0.0,0.0,0.888889,ambiente,9
102,0.514478,0.335246,0.000187,0.150089,1.0,0.0,0.0,0.0,comida,3
103,0.239608,0.311354,0.07406,0.374978,0.0,0.166667,0.333333,0.5,ambiente,6
104,0.012107,0.528423,0.089267,0.370204,0.0,0.166667,0.166667,0.666667,ambiente,6
105,0.487572,0.11293,0.130823,0.268676,0.666667,0.0,0.333333,0.0,comida,3
106,0.749421,0.006572,0.000248,0.243759,0.571429,0.0,0.0,0.428571,comida,7
107,0.926545,0.03914,0.007225,0.027089,0.833333,0.0,0.0,0.166667,comida,6
108,0.005327,0.889191,6.5e-05,0.105417,0.0,0.888889,0.0,0.111111,servicio,9
109,0.129593,0.471742,0.05029,0.348375,0.4,0.2,0.2,0.2,comida,5
110,0.178049,0.059951,0.758685,0.003315,0.375,0.0,0.625,0.0,precio,8
111,0.629152,0.103782,0.261623,0.005443,0.75,0.0,0.25,0.0,comida,4
112,0.397195,0.428017,0.055741,0.119047,0.428571,0.428571,0.0,0.142857,comida,7
113,0.107105,0.003947,0.888545,0.000403,0.0,0.0,1.0,0.0,precio,4
114,0.35043,0.341068,0.17786,0.130643,0.375,0.5,0.125,0.0,servicio,8
115,0.038234,0.029317,0.751917,0.180531,0.0,0.0,1.0,0.0,precio,6
116,0.006885,0.278918,0.529447,0.184751,0.0,0.285714,0.571429,0.142857,precio,7
117,0.044926,0.038386,0.658809,0.257879,0.0,0.0,0.4,0.6,ambiente,5
118,0.021669,0.143055,0.827883,0.007392,0.0,0.166667,0.833333,0.0,precio,6
119,0.924413,0.000259,0.033618,0.04171,0.666667,0.0,0.0,0.333333,comida,3
120,0.010494,0.280536,0.017914,0.691057,0.0,0.142857,0.0,0.857143,ambiente,7
121,0.696747,0.223971,0.076689,0.002593,0.6,0.4,0.0,0.0,comida,5
122,0.009204,0.066014,0.871566,0.053217,0.0,0.0,1.0,0.0,precio,9
123,0.897934,0.06448,0.015762,0.021823,0.833333,0.0,0.166667,0.0,comida,6
124,0.01213,0.04403,0.803515,0.140326,0.0,0.25,0.5,0.25,precio,4
125,0.132259,6.4e-05,0.396153,0.471524,0.0,0.0,0.333333,0.666667,ambiente,6
126,0.010238,0.958232,0.015965,0.015565,0.142857,0.857143,0.0,0.0,servicio,7
127,0.845858,0.030249,0.123893,0.0,0.857143,0.0,0.142857,0.0,comida,7
128,0.772287,0.0,0.001469,0.226245,0.666667,0.0,0.0,0.333333,comida,3
129,0.135835,0.580251,0.269478,0.014436,0.0,0.5,0.5,0.0,servicio,4
130,2.2e-05,0.924555,0.001605,0.073819,0.0,1.0,0.0,0.0,servicio,9
131,0.344906,0.000465,0.001032,0.653597,0.222222,0.0,0.0,0.777778,ambiente,9
132,0.200641,0.001095,0.786538,0.011725,0.333333,0.0,0.666667,0.0,precio,9
133,0.003881,0.326566,0.075358,0.594196,0.0,0.333333,0.0,0.666667,ambiente,3
134,0.090535,0.164294,0.276328,0.468843,0.0,0.111111,0.444444,0.444444,precio,9
135,0.171191,0.014339,0.291945,0.522526,0.5,0.0,0.25,0.25,comida,4
136,0.740319,0.232763,0.00662,0.020298,0.857143,0.142857,0.0,0.0,comida,7
137,0.035351,0.055256,0.000479,0.908913,0.0,0.0,0.0,1.0,ambiente,7
138,0.087919,0.001387,0.668125,0.242569,0.0,0.0,0.666667,0.333333,precio,9
139,0.16868,0.095043,0.08513,0.651147,0.0,0.0,0.5,0.5,precio,4
140,0.192542,0.114053,0.515718,0.177688,0.25,0.25,0.25,0.25,comida,4
141,0.005706,0.000142,0.080129,0.914024,0.0,0.0,0.2,0.8,ambiente,5
142,0.000624,0.033629,0.735921,0.229827,0.0,0.0,0.6,0.4,precio,5
143,0.016978,0.150312,0.832549,0.000162,0.0,0.0,1.0,0.0,precio,3
144,0.18428,0.157564,0.533655,0.124501,0.666667,0.0,0.333333,0.0,comida,3
145,0.026543,0.610724,0.217252,0.145481,0.0,0.666667,0.222222,0.111111,servicio,9
146,0.000398,0.016455,0.060977,0.922171,0.0,0.0,0.0,1.0,ambiente,7
147,0.212358,3e-06,0.140096,0.647543,0.125,0.0,0.0,0.875,ambiente,8
148,0.335265,0.111052,0.22337,0.330312,0.75,0.0,0.25,0.0,comida,4
149,0.206434,0.787861,0.002062,0.003643,0.166667,0.833333,0.0,0.0,servicio,6
150,0.008093,0.009875,0.465877,0.516154,0.0,0.0,0.714286,0.285714,precio,7
151,0.359658,0.260002,0.318585,0.061754,0.25,0.75,0.0,0.0,servicio,4
152,0.011163,0.024639,0.007116,0.957082,0.0,0.0,0.0,1.0,ambiente,4
153,0.185389,0.154191,0.53936,0.121059,0.142857,0.142857,0.714286,0.0,precio,7
154,0.112227,0.801743,0.003145,0.082886,0.25,0.5,0.0,0.25,servicio,4
155,0.172521,0.00025,3.2e-05,0.827196,0.0,0.0,0.0,1.0,ambiente,5
156,0.003985,0.002723,0.584522,0.40877,0.0,0.0,0.6,0.4,precio,5
157,5.4e-05,0.000373,0.104114,0.89546,0.0,0.0,0.25,0.75,ambiente,8
158,0.622384,0.097181,0.270348,0.010087,0.625,0.25,0.125,0.0,comida,8
159,0.172773,0.029275,0.008601,0.789351,0.0,0.166667,0.0,0.833333,ambiente,6
160,0.645321,0.080238,0.266074,0.008367,1.0,0.0,0.0,0.0,comida,4
161,0.022195,0.811756,0.079134,0.086915,0.0,0.714286,0.0,0.285714,servicio,7
162,0.321624,0.581101,0.003186,0.094089,0.428571,0.571429,0.0,0.0,servicio,7
163,0.012712,1e-06,0.986078,0.001209,0.0,0.0,1.0,0.0,precio,8
164,0.670126,0.038811,0.265761,0.025303,1.0,0.0,0.0,0.0,comida,5
165,0.185576,0.545844,0.181279,0.087301,0.125,0.375,0.5,0.0,precio,8
166,0.035594,0.904861,0.006945,0.0526,0.0,1.0,0.0,0.0,servicio,4
167,0.192077,0.209243,0.558177,0.040503,0.0,0.333333,0.666667,0.0,precio,3
168,0.413334,0.064623,0.310556,0.211487,1.0,0.0,0.0,0.0,comida,4
169,0.5543,0.262481,0.08167,0.101549,0.2,0.4,0.2,0.2,servicio,5
170,0.183583,0.002478,0.565074,0.248865,0.333333,0.0,0.333333,0.333333,comida,3
171,0.236059,0.618277,0.040649,0.105015,0.0,0.625,0.0,0.375,servicio,8
172,0.240897,0.641961,0.099749,0.017393,0.111111,0.777778,0.111111,0.0,servicio,9
173,0.900714,0.001185,0.097656,0.000445,1.0,0.0,0.0,0.0,comida,7
174,0.020807,0.971333,0.006101,0.001759,0.0,1.0,0.0,0.0,servicio,3
175,0.61325,0.186387,0.002571,0.197792,0.555556,0.333333,0.0,0.111111,comida,9
176,0.000769,0.460758,0.000213,0.538259,0.0,0.625,0.0,0.375,servicio,8
177,0.43553,0.498452,1.4e-05,0.066004,0.428571,0.571429,0.0,0.0,servicio,7
178,0.139658,0.048104,0.811098,0.001139,0.166667,0.0,0.833333,0.0,precio,6
179,0.976864,0.009204,0.0058,0.008132,0.833333,0.0,0.0,0.166667,comida,6
180,0.043464,0.904425,0.046517,0.005595,0.125,0.875,0.0,0.0,servicio,8
181,0.020279,0.001543,0.080448,0.89773,0.0,0.0,0.0,1.0,ambiente,6
182,0.017672,0.254594,0.125485,0.602249,0.0,0.222222,0.111111,0.666667,ambiente,9
183,0.505276,0.452257,0.042289,0.000177,0.5,0.0,0.5,0.0,comida,4
184,0.489608,0.488334,0.022058,1e-06,0.2,0.8,0.0,0.0,servicio,5
185,0.428694,0.001559,0.000716,0.569031,0.888889,0.0,0.0,0.111111,comida,9
186,0.590319,4.9e-05,0.00477,0.404862,0.875,0.0,0.0,0.125,comida,8
187,0.722804,0.070273,0.104614,0.102309,0.666667,0.0,0.333333,0.0,comida,6
188,0.000131,0.988343,0.005178,0.006347,0.0,1.0,0.0,0.0,servicio,4
189,0.00103,0.175609,0.817314,0.006047,0.0,0.0,1.0,0.0,precio,6
190,0.457949,0.365013,0.077243,0.099794,0.0,0.571429,0.285714,0.142857,servicio,7
191,0.286497,0.580097,0.026145,0.10726,0.428571,0.428571,0.0,0.142857,comida,7
192,0.035735,0.693043,0.266668,0.004554,0.0,0.666667,0.333333,0.0,servicio,6
193,0.002391,0.013125,0.844194,0.14029,0.0,0.0,0.666667,0.333333,precio,3
194,0.445869,0.025763,0.509527,0.01884,0.5,0.0,0.5,0.0,comida,6
195,0.108723,0.483678,0.0,0.407598,0.0,0.6,0.0,0.4,servicio,5
196,0.120145,0.549479,0.327388,0.002988,0.0,0.75,0.25,0.0,servicio,8
197,0.744253,0.142443,0.102214,0.01109,1.0,0.0,0.0,0.0,comida,3
198,1e-06,0.487408,0.01603,0.49656,0.0,0.166667,0.0,0.833333,ambiente,6
199,0.368536,0.225202,0.01031,0.395952,0.555556,0.111111,0.0,0.333333,comida,9
200,0.170376,0.001669,0.134047,0.693908,0.25,0.0,0.0,0.75,ambiente,4
201,0.000114,0.221738,2e-06,0.778145,0.0,0.142857,0.0,0.857143,ambiente,7
202,0.105569,0.277431,0.613399,0.003602,0.0,0.25,0.75,0.0,precio,8
203,0.812316,0.060147,0.014007,0.11353,0.857143,0.0,0.0,0.142857,comida,7
204,0.072688,0.400522,0.52677,2e-05,0.0,0.666667,0.333333,0.0,servicio,6
205,0.108868,0.785699,0.002901,0.102532,0.0,1.0,0.0,0.0,servicio,4
206,0.145596,0.090238,0.67407,0.090096,0.111111,0.0,0.666667,0.222222,precio,9
207,0.193978,0.45629,0.194879,0.154853,0.5,0.5,0.0,0.0,comida,4
208,0.000271,0.635362,0.360429,0.003938,0.0,0.875,0.125,0.0,servicio,8
209,0.11,0.24991,0.008081,0.632009,0.0,0.75,0.0,0.25,servicio,4
210,0.001084,0.646888,0.342849,0.009179,0.0,0.571429,0.428571,0.0,servicio,7
211,0.0,0.687231,0.116828,0.195941,0.0,0.5,0.25,0.25,servicio,4
212,0.399355,0.347783,0.002016,0.250845,0.428571,0.285714,0.0,0.285714,comida,7
213,0.128198,0.068629,0.368225,0.434948,0.0,0.0,0.222222,0.777778,ambiente,9
214,0.131812,0.616922,0.229606,0.021659,0.0,0.125,0.75,0.125,precio,8
215,0.078619,0.229531,0.37959,0.31226,0.0,0.333333,0.333333,0.333333,servicio,3
216,0.262421,0.301018,0.295642,0.140919,0.833333,0.166667,0.0,0.0,comida,6
217,0.80641,0.015887,0.07598,0.101723,1.0,0.0,0.0,0.0,comida,4
218,0.075065,0.058204,0.116978,0.749753,0.0,0.0,0.0,1.0,ambiente,7
219,0.20163,0.707723,5e-05,0.090597,0.333333,0.666667,0.0,0.0,servicio,9
220,0.127264,0.342882,0.20524,0.324615,0.5,0.5,0.0,0.0,comida,4
221,4.8e-05,0.723427,0.270942,0.005584,0.0,0.333333,0.666667,0.0,precio,3
222,0.608048,0.29045,0.014424,0.087078,1.0,0.0,0.0,0.0,comida,4
223,0.324442,0.02823,0.558925,0.088404,0.111111,0.0,0.666667,0.222222,precio,9
224,0.038491,0.148274,0.002419,0.810816,0.0,0.0,0.0,1.0,ambiente,6
225,0.032808,5.9e-05,0.960349,0.006784,0.0,0.0,1.0,0.0,precio,4
226,0.694369,0.018287,0.193,0.094344,0.5,0.0,0.166667,0.333333,comida,6
227,0.343435,0.327143,0.316034,0.013389,0.666667,0.333333,0.0,0.0,comida,6
228,0.062017,0.004839,0.71571,0.217435,0.0,0.0,0.875,0.125,precio,8
229,0.447989,0.231763,0.00049,0.319758,0.5,0.5,0.0,0.0,comida,6
230,0.035245,0.025597,0.890083,0.049075,0.0,0.0,1.0,0.0,precio,9
231,0.032862,0.512714,0.403611,0.050814,0.0,0.5,0.5,0.0,servicio,4
232,0.196498,0.621713,0.088883,0.092906,0.333333,0.666667,0.0,0.0,servicio,3
233,0.159584,0.02731,0.808899,0.004207,0.166667,0.0,0.833333,0.0,precio,6
234,0.48571,0.469265,0.038563,0.006462,0.333333,0.444444,0.222222,0.0,servicio,9
235,0.636749,0.056406,0.093557,0.213288,0.75,0.0,0.0,0.25,comida,4
236,0.548551,0.010722,0.081871,0.358856,0.6,0.0,0.0,0.4,comida,5
237,0.002371,0.415932,0.435986,0.14571,0.0,0.571429,0.285714,0.142857,servicio,7
238,0.039061,0.259517,0.026537,0.674884,0.0,0.166667,0.0,0.833333,ambiente,6
239,0.000154,0.501399,0.391285,0.107161,0.0,0.833333,0.166667,0.0,servicio,6
240,0.008398,0.537723,0.277346,0.176533,0.0,0.666667,0.166667,0.166667,servicio,6
241,0.059041,0.310261,0.022248,0.608449,0.0,0.0,0.0,1.0,ambiente,4
242,0.013509,0.070058,0.660491,0.255942,0.111111,0.0,0.666667,0.222222,precio,9
243,0.09142,0.124545,0.470228,0.313807,0.222222,0.111111,0.222222,0.444444,ambiente,9
244,0.474935,0.000195,0.178647,0.346223,0.6,0.0,0.0,0.4,comida,5
245,0.632246,0.191006,0.17561,0.001137,1.0,0.0,0.0,0.0,comida,4
246,0.944783,0.054811,0.000327,7.9e-05,1.0,0.0,0.0,0.0,comida,9
247,0.17951,0.100723,0.553898,0.165869,0.0,0.142857,0.857143,0.0,precio,7
248,0.410721,0.247934,0.028194,0.313151,0.75,0.0,0.0,0.25,comida,4
249,0.278654,0.0,0.719279,0.002066,0.0,0.0,1.0,0.0,precio,5
250,0.480138,0.073361,0.419788,0.026713,0.4,0.0,0.6,0.0,precio,5
251,4.1e-05,0.610056,0.044803,0.3451,0.0,0.75,0.0,0.25,servicio,4
252,0.347707,0.499747,0.110729,0.041817,0.111111,0.888889,0.0,0.0,servicio,9
253,0.098028,0.670459,0.097701,0.133812,0.0,0.5,0.25,0.25,servicio,4
254,0.015199,0.06795,0.765061,0.151791,0.0,0.0,0.75,0.25,precio,4
255,0.000506,0.196301,0.802678,0.000515,0.0,0.333333,0.666667,0.0,precio,6
256,0.027062,0.012339,0.79381,0.166789,0.0,0.0,0.75,0.25,precio,4
257,0.125193,0.747499,0.123996,0.003312,0.0,0.75,0.25,0.0,servicio,4
258,0.017277,0.251257,0.620167,0.111298,0.0,0.333333,0.666667,0.0,precio,3
259,0.003863,0.044893,0.36662,0.584624,0.0,0.0,0.5,0.5,precio,8
260,0.207161,0.181808,0.489158,0.121873,0.4,0.4,0.2,0.0,comida,5
261,0.048,0.103277,0.845349,0.003375,0.0,0.25,0.75,0.0,precio,4
262,0.010455,0.052033,0.837262,0.10025,0.0,0.0,0.777778,0.222222,precio,9
263,0.530161,0.012228,0.37124,0.086371,0.8,0.0,0.2,0.0,comida,5
264,0.061746,0.007648,0.918271,0.012335,0.142857,0.142857,0.714286,0.0,precio,7
265,0.007694,0.040835,0.837272,0.114199,0.0,0.0,0.75,0.25,precio,4
266,4.8e-05,0.000282,0.045616,0.954054,0.0,0.0,0.0,1.0,ambiente,7
267,0.376053,0.530418,0.020747,0.072782,0.6,0.2,0.0,0.2,comida,5
268,0.001358,0.030735,0.846521,0.121386,0.0,0.0,0.666667,0.333333,precio,3
269,0.000176,0.103565,0.347336,0.548923,0.0,0.166667,0.5,0.333333,precio,6
270,0.960451,0.015554,0.009212,0.014783,1.0,0.0,0.0,0.0,comida,5
271,0.183041,0.779787,0.021089,0.016082,0.375,0.625,0.0,0.0,servicio,8
272,0.097071,0.295835,0.607094,0.0,0.0,0.125,0.875,0.0,precio,8
273,0.235044,0.301342,0.011437,0.452177,0.25,0.0,0.0,0.75,ambiente,4
274,0.00099,0.561351,0.016728,0.420932,0.0,0.0,0.2,0.8,ambiente,5
275,0.625854,0.204118,0.007178,0.16285,0.666667,0.333333,0.0,0.0,comida,6
276,0.00189,0.322044,0.005367,0.670699,0.0,0.714286,0.0,0.285714,servicio,7
277,0.048353,0.00508,0.035613,0.910954,0.25,0.0,0.0,0.75,ambiente,4
278,0.44079,0.392579,0.113243,0.053388,0.5,0.5,0.0,0.0,comida,4
279,0.230547,0.310421,0.138186,0.320845,0.0,0.714286,0.142857,0.142857,servicio,7
280,0.001076,0.829424,0.016951,0.152548,0.0,1.0,0.0,0.0,servicio,7
281,0.772663,0.001957,0.19964,0.02574,0.666667,0.0,0.333333,0.0,comida,3
282,0.078471,0.088346,0.381245,0.451938,0.0,0.0,0.4,0.6,ambiente,5
283,0.000786,0.942923,0.031782,0.024509,0.0,1.0,0.0,0.0,servicio,9
284,0.065986,0.162478,0.682137,0.089399,0.142857,0.142857,0.714286,0.0,precio,7
285,0.784591,0.056865,0.097792,0.060752,0.875,0.0,0.125,0.0,comida,8
286,0.249526,0.000316,0.000768,0.74939,0.166667,0.0,0.0,0.833333,ambiente,6
287,0.001603,0.884648,0.096428,0.017321,0.0,0.8,0.2,0.0,servicio,5
288,0.091452,0.049856,0.174828,0.683864,0.0,0.0,0.5,0.5,precio,4
289,0.093541,0.037565,0.280078,0.588817,0.0,0.0,0.333333,0.666667,ambiente,3
290,0.090746,0.230932,0.262652,0.415669,0.25,0.25,0.25,0.25,comida,4
291,0.014628,0.005094,0.75323,0.227048,0.0,0.0,0.857143,0.142857,precio,7
292,0.003011,0.647529,0.260363,0.089097,0.0,0.75,0.25,0.0,servicio,4
293,0.410614,0.18821,0.398331,0.002845,0.2,0.4,0.4,0.0,servicio,5
294,0.001318,0.356336,0.007128,0.635219,0.0,0.285714,0.0,0.714286,ambiente,7
295,0.283927,0.124985,0.354447,0.23664,0.0,0.666667,0.333333,0.0,servicio,3
296,0.004274,0.338011,0.580584,0.077131,0.333333,0.333333,0.333333,0.0,comida,3
297,0.003994,0.990658,0.003884,0.001464,0.0,1.0,0.0,0.0,servicio,5
298,0.012002,0.686751,0.001459,0.299788,0.0,0.25,0.0,0.75,ambiente,4
299,0.257153,0.404263,0.325503,0.01308,0.666667,0.166667,0.166667,0.0,comida,6
300,0.020887,0.276166,0.000479,0.702467,0.0,0.571429,0.0,0.428571,servicio,7
301,0.209544,0.128853,0.649062,0.012541,0.0,0.0,1.0,0.0,precio,4
302,0.246707,0.029034,0.004471,0.719788,0.285714,0.142857,0.0,0.571429,ambiente,7
303,0.564689,0.430161,0.003987,0.001162,0.75,0.25,0.0,0.0,comida,4
304,0.200405,0.798816,3.2e-05,0.000746,0.0,1.0,0.0,0.0,servicio,5
305,8e-06,0.061166,0.50172,0.437106,0.0,0.0,0.555556,0.444444,precio,9
306,0.745747,0.076116,0.068076,0.110061,0.5,0.25,0.0,0.25,comida,4
307,0.005594,0.341547,0.637154,0.015705,0.0,0.25,0.75,0.0,precio,4
308,0.025055,0.001249,0.887302,0.086394,0.0,0.0,0.8,0.2,precio,5
309,0.077014,0.800288,0.003789,0.118909,0.25,0.5,0.0,0.25,servicio,4
