resena_id,restaurante,calificacion,texto
24,Casa Sazon,3,El costo no corresponde con la calidad. El precio de la carta me parecio flojo para lo que sirven. Cobran la propina sin avisar y el valor final sube. La promocion que anuncian no aplicaba al pagar. La terraza tiene una vista bonita para la tarde. El ambiente del lugar es muy bueno y muy acogedor. Tienen precios claros y la factura llega detallada. Los precios subieron y ya no es económico.
25,Casa Sazon,4,Cobran la propina sin avisar y el valor final sube. Nos cobraron un valor distinto al de la carta. El ambiente era mal por el ruido de la calle. Habia mucho ruido y el espacio mal ventilado. La presentación del plato acompaña el sabor. El valor de los platos esta por debajo del promedio de la zona. Escribanme a quejas@laterraza.com si quieren la foto.
26,Casa Sazon,3,EL AMBIENTE ERA DEFICIENTE POR EL RUIDO DE LA CALLE. NOS COBRARON UN VALOR DISTINTO AL DE LA CARTA. LAS MESAS ESTÁN BIEN SEPARADAS Y EL SITIO ES SILENCIOSO. LA PROMOCION QUE ANUNCIAN NO APLICABA AL PAGAR. LOS PRECIOS SUBIERON Y YA NO ES ECONÓMICO. EL VALOR DE LOS PLATOS ESTA POR DEBAJO DEL PROMEDIO DE LA ZONA.!!!
27,Paul's Mcarne Feast Palace,3,La atención hizo la diferencia en la visita. La cuenta salió cara y la factura traia cobros que no pedimos. El precio de la carta me parecio regular para lo que sirven. Pagamos $18.900 en total.
28,Muuu Said the Happy Cow,3,El ambiente del lugar es excelente y muy acogedor. La terraza tiene una vista bonita para la tarde. El plato principal llegó bien preparado y con una sazon delicioso. El lugar estaba limpio y las sillas comodas. La cuenta fue economica y el valor esta justificado. Los precios subieron y ya no es económico. El lugar se sentia estrecho y las sillas incomodas. El ambiente era mal por el ruido de la calle.
29,La Verdura Inquieta,3,LAS MESAS ESTÁN BIEN SEPARADAS Y EL SITIO ES SILENCIOSO. EL LUGAR SE SENTIA ESTRECHO Y LAS SILLAS INCOMODAS. TIENEN PRECIOS CLAROS Y LA FACTURA LLEGA DETALLADA. EL ESPACIO ES AMPLIO Y SE SIENTE TRANQUILO. HABIA MUCHO RUIDO Y EL ESPACIO MAL VENTILADO. LA DECORACIÓN Y LA LUZ HACEN AGRADABLE EL ESPACIO.
30,Mercado 93,4,El sitio no estaba limpio cuando llegamos. El precio de la carta me parecio deficiente para lo que sirven. La música estaba demasiado alta para conversar. Llamen al 320 444 9911 antes de ir.
31,Muuu Said the Happy Cow,3,El mesero reviso el pedido antes de traerlo. Pedimos verduras y llegaron recalentadas. Los ingredientes no se sentian frescos. La sazón de la casa es lo mejor del menu. Las verduras estaban frescas y bien condimentadas. La sazón del plato quedó desbalanceada y demasiado salada. La porcion fue pequena para lo que ofrece el menu. El sabor no corresponde a lo que promete la carta. El postre cerro la comnida de forma muy bueno.!!!
32,La Terraza del Chico,1,La comida llegó fria y sin sabor. La comida llegó fria y sin sabor. La comida estuvo muy bueno y el sabor de los platos me sorprendio. La sazón del plato quedó desbalanceada y demasiado salada. Los ingredientes no se sentian frescos. La sazón de la casa es lo mejor del menu. El plato venia mal preparado y la carne seca. El sabor no corresponde a lo que promete la carta. La sazón del plato quedó desbalanceada y demasiado salada. Reservas al 3105551234.!!!
33,La Terraza del Chico,3,Probamos el plato picante y el sabor era intenso pero equilibrado. El postre cerro la comnida de forma muy bueno. El postre cerro la comida de forma muy bueno. Los ingredientes no se sentian frescos. Los ingredientes no se sentian frescos. La comida llegó fria y sin sabor.
34,Vegan Island,2,LA PROMOCION QUE ANUNCIAN NO APLICABA AL PAGAR. LA PROMOCION QUE ANUNCIAN NO APLICABA AL PAGAR. LAS VERDURAS ESTABAN FRESCAS Y BIEN CONDIMENTADAS.
35,Vegan Island,3,El lugar estaba limpio y las sillas comodas. Las mesas están bien separadas y el sitio es silencioso. El ambiente del lugar es delicioso y muy acogedor. La terraza estaba cerrada y no avisaron. La atención fue distante y poco cortés. Los ingredientes no se sentian frescos. El lugar estaba limpio y las sillas comodas. Los precios subieron y ya no es económico.
36,Muuu Said the Happy Cow,4,La atención hizo la diferencia en la visita. La comida llegó fria y sin sabor. La atención fue distante y poco cortés. Probamos el plato picante y el sabor era intenso pero equilibrado. Tomaron el pedido rápido y llegó sin errores. La porcion fue pequena para lo que ofrece el menu.
37,La Verdura Inquieta,3,Tomaron el pedido rápido y llego sin errores. Esperamos mucho tiempo por la cuenta. El mesero se equivocó con el pedido de la mesa. El servicio fue pésimo y tuvimos que llamar varias veces. Nos atendieron rápido y con amabilidad. La atencion hizo la diferencia en la visita. Nos ubicaron en la mesa apenas llegamos. El personal es amable y resuelve cualquier duda.
38,Muuu Said the Happy Cow,2,Pedimos la carne y quedó en su punto exacto. El costo no corresponde con la calidad. Los ingredientes no se sentian frescos. Pagar aqui se siente razonable por lo que sirven.
39,Casa Sazon,2,Esperamos mucho tiempo por la cuenta. El postre estaba mal y sin gracia. Nos atendieron rapido y con amabilidad. Pagamos mucho por una porción pequena. Tienen precios claros y la factura llega detallada. La sazon del plato quedó desbalanceada y demasiado salada. Los precios subieron y ya no es económico. El personal es amable y resuelve cualquier duda.
40,El Pirata del Sabor Vegano,4,EL PRECIO ES NOTABLE PARA LA CALIDAD QUE OFRECEN. LOS INGREDIENTES SE SENTIAN FRESCOS Y LA PORCIÓN GENEROSA. EL SABOR NO CORRESPONDE A LO QUE PROMETE LA CARTA. PEDIMOS VERDURAS Y LLEGARON RECALENTADAS. EL PLATO PRINCIPAL LLEGÓ BIEN PREPARADO Y CON UNA SAZÓN CORRECTO. LA COMIDA ESTUVO MUY BUENO Y EL SABOR DE LOS PLATOS ME SORPRENDIÓ. EL POSTRE CERRO LA COMIDA DE FORMA CORRECTO. EL POSTRE CERRO LA COMIDA DE FORMA MUY BUENO.
41,El Pirata del Sabor Vegano,5,Tomaron el pedido rápido y llego sin errores. El mesero explico el menu con paciencia y fue cortés. Tomaron el pedido rápido y llego sin errores. La atencion en la mesa estuvo pendiente todo el tiempo.
42,La Terraza del Chico,4,La presentacion del plato acompaña el sabor. La sazón de la casa es lo mejor del menu. El postre cerro la comida de forma notable. El sabor no corresponde a lo que promete la carta.
43,El Pirata del Sabor Vegano,4,Las verduras estaban frescas y bien condimentadas. Es un lugar económico para el tamano de las porciones. La atención fue distante y poco cortés. El postre cerro la comida de forma notable.
44,La Verdura Inquieta,4,El presio de la carta me parecio deficiente para lo que sirven. Tomaron el pedido rápido y llegó sin errores. El mesero explicó el menu con paciencia y fue cortes. La espera para que tomaran el pedido fue larga. Tienen precios claros y la factura llega detallada. El mesero se equivoco con el pedido de la mesa. El descuento del dia deja la cuenta muy barata.
45,Mercado 93,4,El espacio es amplio y se siente tranquilo. La sazón del plato quedó desbalanceada y demasiado salada. El ambiente del lugar es notable y muy acogedor. Las mesas están bien separadas y el sitio es silencioso.
46,Vegan Island,1,Pusimos un reclamo y nadie respondió. El ambiente era deficiente por el ruido de la calle. La terraza tiene una vista bonita para la tarde. La terraza tiene una vista bonita para la tarde. El lugar se sentia estrecho y las sillas incomodas. El ambiente era pésimo por el ruido de la calle.
47,La Verdura Inquieta,3,Esperamos mucho tiempo por la cuenta. El costo no corresponde con la calidad. El postre estaba regular y sin gracia. El precio de la carta me parecio pésimo para lo que sirven. El menu tiene variedad y cada plato mantiene la calidad. La música estaba demasiado alta para conversar. Mas fotos en quejas@laterraza.com.
48,Casa Sazon,3,La cuenta salio cara y la factura traia cobros que no pedimos. Es un lugar economico para el tamano de las porciones. La atencion en la mesa estuvo pendiente todo el tiempo. El mesero reviso el pedido antes de traerlo.
49,Muuu Said the Happy Cow,3,La comida llego fria y sin sabor. La música estaba demasiado alta para conversar. El servicio fue muy bueno y el mesero muy atento. El lugar estaba limpio y las sillas comodas. La iluminacion del salon es cálida. La comida llego fria y sin sabor.
50,Mercado 93,4,El personal es amable y resuelve cualquier duda. El mesero reviso el pedido antes de traerlo. Hubo demora en la cocina y nadie nos aviso. Pusimos un reclamo y nadie respondió. El mesero se equivocó con el pedido de la mesa. La atención fue distante y poco cortes. Llamen al 6012345678 antes de ir.
51,Paul's Mcarne Feast Palace,3,"El ambiente era mal por el ruido de la calle. Habia mucho ruido y el espacio mal ventilado. La iluminación del salon es calida. La terraza tiene una vista bonita para la tarde. Vale 25 mil, ojo con eso."
52,Casa Sazon,2,Pagamos mucho por una porción pequena. Pedimos la carne y quedó en su punto exacto. El presio de la carta me parecio mal para lo que sirven. Pedimos verduras y llegaron recalentadas. Escribanme a contacto@resto.co si quieren la foto.
53,Vegan Island,1,El servicio fue pésimo y tuvimos que llamar varias veces. La cuenta salió cara y la factura traia cobros que no pedimos. La cuenta salió cara y la factura traia cobros que no pedimos.
54,Muuu Said the Happy Cow,4,Los precios subieron y ya no es económico. El valor de los platos esta por debajo del promedio de la zona. Cobran la propina sin avisar y el valor final sube. Nos cobraron un valor distinto al de la carta.
55,Vegan Island,3,El personal es amable y resuelve cualquier duda. El personal no estaba pendiente de las mesas. Habia mucho ruido y el espacio mal ventilado. El servicio fue regular y tuvimos que llamar varias veces. El servicio fue muy bueno y el mesero muy atento. Pagar aqui se siente razonable por lo que sirven. El espacio es amplio y se siente tranquilo.
56,El Pirata del Sabor Vegano,5,La música acompaña sin tapar la conversacion. El lugar estaba limpio y las sillas comodas. La música acompaña sin tapar la conversacion. Nos atendieron rápido y con amabilidad. Reservas al 6012345678.
57,Mercado 93,3,La porción fue pequena para lo que ofrece el menu. Tomaron el pedido rápido y llegó sin errores. El mesero reviso el pedido antes de traerlo.!!!
58,Paul's Mcarne Feast Palace,3,El costo no corresponde con la calidad. Cobran la propina sin avisar y el valor final sube. El personal no estaba pendiente de las mesas. El mesero reviso el pedido antes de traerlo. El precio de la carta me parecio deficiente para lo que sirven.
59,Muuu Said the Happy Cow,5,La decoracion y la luz hacen agradable el espacio. El descuento del dia deja la cuenta muy barata. El mesero explicó el menu con paciencia y fue cortés. La música estaba demasiado alta para conversar.
60,La Terraza del Chico,2,PEDIMOS VERDURAS Y LLEGARON RECALENTADAS. EL PERSONAL NO ESTABA PENDIENTE DE LAS MESAS. LAS MESAS ESTAN BIEN SEPARADAS Y EL SITIO ES SILENCIOSO. EL PLATO VENIA DEFICIENTE PREPARADO Y LA CARNE SECA. EL AMBIENTE ERA PÉSIMO POR EL RUIDO DE LA CALLE. EL SITIO NO ESTABA LIMPIO CUANDO LLEGAMOS. LOS INGREDIENTES SE SENTIAN FRESCOS Y LA PORCIÓN GENEROSA. EL AMBIENTE ERA REGULAR POR EL RUIDO DE LA CALLE. MAS FOTOS EN INFO@MERCADO93.CO.
61,Vegan Island,3,La comida estuvo excelente y el sabor de los platos me sorprendió. Tomaron el pedido rápido y llegó sin errores. La porción fue pequena para lo que ofrece el menu. El postre cerro la comida de forma correcto. Probamos el plato picante y el sabor era intenso pero equilibrado. Reservas al 3105551234.
62,El Pirata del Sabor Vegano,4,Hubo demora en la cocina y nadie nos aviso. Manejan una promocion de almuerzo que vale la pena. La espera para que tomaran el pedido fue larga. El zervicio fue regular y tuvimos que llamar varias veces. La atención en la mesa estuvo pendiente todo el tiempo. El mesero explicó el menu con paciencia y fue cortés.
63,Casa Sazon,5,"La atencion en la mesa estuvo pendiente todo el tiempo. El mesero se equivoco con el pedido de la mesa. Esperamos mucho tiempo por la cuenta. El mesero se equivoco con el pedido de la mesa. El personal es amable y resuelve cualquier duda. El personal es amable y resuelve cualquier duda. El servicio fue flojo y tuvimos que llamar varias veces. Nos ubicaron en la mesa apenas llegamos. Vale 60 mil, ojo con eso."
64,Paul's Mcarne Feast Palace,4,El personal es amable y resuelve cualquier duda. El servicio fue flojo y tuvimos que llamar varias veces. La atención en la mesa estuvo pendiente todo el tiempo. Pusimos un reclamo y nadie respondió. El espacio es amplio y se siente tranquilo. La música estaba demasiado alta para conversar.
65,La Verdura Inquieta,1,El precio de la carta me parecio pésimo para lo que sirven. El personal no estaba pendiente de las mesas. La promocion que anuncian no aplicaba al pagar. La promocion que anuncian no aplicaba al pagar. La terraza estaba cerrada y no avisaron. El lugar estaba limpio y las sillas comodas. El lugar se sentia estrecho y las sillas incomodas. El ambiente del lugar es delicioso y muy acogedor.
66,El Pirata del Sabor Vegano,3,Las verduras estaban frescas y bien condimentadas. La comida estuvo notable y el sabor de los platos me sorprendio. El personal no estaba pendiente de las mesas. Habia mucho ruido y el espacio mal ventilado. La decoración y la luz hacen agradable el espacio. La decoración y la luz hacen agradable el espacio. Tomaron el pedido rápido y llegó sin errores. El sabor no corresponde a lo que promete la carta. Escribanme a quejas@laterraza.com si quieren la foto.
67,Mercado 93,4,La música estaba demasiado alta para conversar. El espacio es amplio y se siente tranquilo. El ambiente del lugar es muy bueno y muy acogedor. Pusimos un reclamo y nadie respondió. El ambiente del lugar es excelente y muy acogedor. El sitio no estaba limpio cuando llegamos. El mesero se equivoco con el pedido de la mesa.
68,Casa Sazon,3,El plato venia flojo preparado y la carne seca. La sazón de la casa es lo mejor del menu. La comnida llegó fria y sin sabor. El plato principal llegó bien preparado y con una sazón notable.!!!
69,Vegan Island,3,El servicio fue muy bueno y el mesero muy atento. El mesero se equivocó con el pedido de la mesa. Pusimos un reclamo y nadie respondió. La atención hizo la diferencia en la visita.
70,Muuu Said the Happy Cow,3,La sazón de la casa es lo mejor del menu. Los ingredientes se sentian frescos y la porción generosa. Pedimos verduras y llegaron recalentadas. El postre estaba pésimo y sin gracia. El postre estaba pésimo y sin gracia. Los ingredientes se sentian frescos y la porción generosa. La sazón del plato quedó desbalanceada y demasiado salada.
71,Paul's Mcarne Feast Palace,3,El ambiente era mal por el ruido de la calle. La terraza estaba cerrada y no avisaron. La iluminacion del salon es cálida.
72,La Verdura Inquieta,1,La decoración esta descuidada y la luz muy fuerte. El ambiente era pésimo por el ruido de la calle. La atención hizo la diferencia en la visita. La espera para que tomaran el pedido fue larga. La cuenta fue de $32.500.
73,Paul's Mcarne Feast Palace,3,Pusimos un reclamo y nadie respondió. Pusimos un reclamo y nadie respondió. Esperamos mucho tiempo por la cuenta. Tomaron el pedido rápido y llego sin errores. El plato principal llego bien preparado y con una sazon notable. Nos atendieron rápido y con amabilidad. El servicio fue delicioso y el mesero muy atento. La atención en la mesa estuvo pendiente todo el tiempo.
74,Paul's Mcarne Feast Palace,4,Nos ubicaron en la mesa apenas llegamos. La atención en la mesa estuvo pendiente todo el tiempo. Pagar aqui se siente razonable por lo que sirven. El valor de los platos esta por debajo del promedio de la zona. El servicio fue excelente y el mesero muy atento. La atención fue distante y poco cortés. Hubo demora en la cocina y nadie nos aviso. Reservas al 310 555 12 34.
75,La Verdura Inquieta,4,El precio es muy bueno para la calidad que ofrecen. Probamos el plato picante y el sabor era intenso pero equilibrado. La cuenta fue economica y el valor esta justificado.
76,Muuu Said the Happy Cow,1,El lugar se sentia estrecho y las sillas incomodas. Pedimos verduras y llegaron recalentadas. La sazon del plato quedó desbalanceada y demasiado salada. Mas fotos en reservas@casasazon.com.co.
77,Muuu Said the Happy Cow,5,Habia mucho ruido y el espacio mal ventilado. El espacio es amplio y se siente tranquilo. Las mesas están bien separadas y el sitio es silencioso. Probamos el plato picante y el sabor era intenso pero equilibrado. El precio es correcto para la calidad que ofrecen.
78,Vegan Island,4,Nos cobraron un valor distinto al de la carta. El ambiente del lugar es notable y muy acogedor. Nos cobraron un valor distinto al de la carta. El espacio es amplio y se siente tranquilo. La atención hizo la diferencia en la visita. La terraza estaba cerrada y no avisaron. Mas fotos en reservas@casasazon.com.co.
79,La Verdura Inquieta,2,El sabor no corresponde a lo que promete la carta. El postre estaba flojo y sin gracia. El menu tiene variedad y cada plato mantiene la calidad. La sazón del plato quedó desbalanceada y demasiado salada. La comida llegó fria y sin sabor.
80,Paul's Mcarne Feast Palace,3,La sazon de la casa es lo mejor del menu. Esperamos mucho tiempo por la cuenta. Los ingredientes se sentian frescos y la porción generosa.
81,La Verdura Inquieta,5,La atención en la mesa estuvo pendiente todo el tiempo. El personal es amable y resuelve cualquier duda. Tomaron el pedido rápido y llegó sin errores. El mesero se equivocó con el pedido de la mesa.
82,La Terraza del Chico,3,La terraza estaba cerrada y no avisaron. El mesero se equivocó con el pedido de la mesa. El sitio no estaba limpio cuando llegamos.
83,Vegan Island,3,HUBO DEMORA EN LA COCINA Y NADIE NOS AVISO. NOS COBRARON UN VALOR DISTINTO AL DE LA CARTA. TIENEN PRECIOS CLAROS Y LA FACTURA LLEGA DETALLADA. LA CUENTA SALIO CARA Y LA FACTURA TRAIA COBROS QUE NO PEDIMOS. LOS PRECIOS SUBIERON Y YA NO ES ECONOMICO. ESPERAMOS MUCHO TIEMPO POR LA CUENTA. EL DESCUENTO DEL DIA DEJA LA CUENTA MUY BARATA. EL COSTO NO CORRESPONDE CON LA CALIDAD.
84,Vegan Island,4,Nos cobraron un valor distinto al de la carta. La promocion que anuncian no aplicaba al pagar. La comida estuvo excelente y el sabor de los platos me sorprendió. El descuento del dia deja la cuenta muy barata.
85,Casa Sazon,3,La atención hizo la diferencia en la visita. Hubo demora en la cocina y nadie nos aviso. El servicio fue pésimo y tuvimos que llamar varias veces.
86,Muuu Said the Happy Cow,2,La cuenta salió cara y la factura traia cobros que no pedimos. El mesero explicó el menu con paciencia y fue cortes. La atención en la mesa estuvo pendiente todo el tiempo. Tomaron el pedido rápido y llegó sin errores. La cuenta salió cara y la factura traia cobros que no pedimos. La promocion que anuncian no aplicaba al pagar.
87,La Verdura Inquieta,4,El plato venia flojo preparado y la carne seca. Las verduras estaban frescas y bien condimentadas. Los ingredientes se sentian frescos y la porción generosa. La cuenta fue de $9.800.
88,Muuu Said the Happy Cow,3,El sitio no estaba limpio cuando llegamos. Habia mucho ruido y el espacio mal ventilado. La terraza tiene una vista bonita para la tarde. La decoración esta descuidada y la luz muy fuerte. El personal es amable y resuelve cualquier duda. Nos atendieron rapido y con amabilidad. El servicio fue notable y el mesero muy atento. El ambiente era flojo por el ruido de la calle.
89,Vegan Island,4,El espacio es amplio y se siente tranquilo. El descuento del dia deja la cuenta muy barata. La cuenta salió cara y la factura traia cobros que no pedimos. La cuenta salió cara y la factura traia cobros que no pedimos. Cobran la propina sin avisar y el valor final sube. El descuento del dia deja la cuenta muy barata. La sazón del plato quedó desbalanceada y demasiado salada. Las verduras estaban frescas y bien condimentadas. Nos atendieron rapido y con amabilidad.
90,La Terraza del Chico,3,El servicio fue excelente y el mesero muy atento. Pusimos un reclamo y nadie respondio. La atencion en la mesa estuvo pendiente todo el tiempo. Pusimos un reclamo y nadie respondio. Tomaron el pedido rápido y llegó sin errores. El mesero reviso el pedido antes de traerlo. La decoración y la luz hacen agradable el espacio. Pusimos un reclamo y nadie respondio.
91,La Terraza del Chico,4,El ambiente era regular por el ruido de la calle. El espacio es amplio y se siente tranquilo. La atención fue distante y poco cortés. Nos ubicaron en la mesa apenas llegamos.
92,Casa Sazon,4,El ambiente era mal por el ruido de la calle. La comida estuvo delicioso y el sabor de los platos me sorprendió. Pagar aqui se siente razonable por lo que sirven. Escribanme a ana.mesa+resenas@gmail.com si quieren la foto.!!!
93,Vegan Island,4,Las mesas están bien separadas y el sitio es silencioso. La música estaba demasiado alta para conversar. El ambiente del lugar es deliciozo y muy acogedor. Habia mucho ruido y el espacio mal ventilado. Nos atendieron rápido y con amabilidad.
94,Muuu Said the Happy Cow,5,"El plato principal llegó bien preparado y con una sazón delicioso. El descuento del dia deja la cuenta muy barata. Nos cobraron un valor distinto al de la carta. La atención en la mesa estuvo pendiente todo el tiempo. El menu tiene variedad y cada plato mantiene la calidad. El precio es delicioso para la calidad que ofrecen. El precio es excelente para la calidad que ofrecen. Nos ubicaron en la mesa apenas llegamos. El postre cerro la comida de forma correcto. Vale 18 mil, ojo con eso."
95,Mercado 93,2,Pedimos la carne y quedó en su punto exacto. Pusimos un reclamo y nadie respondio. El sitio no estaba limpio cuando llegamos. El plato venia pésimo preparado y la carne seca. El servicio fue correcto y el mesero muy atento. El ambiente era deficiente por el ruido de la calle. La música estaba demasiado alta para conversar. La iluminación del salon es cálida.
96,Casa Sazon,5,El espacio es amplio y se siente tranquilo. Pedimos la carne y quedo en su punto exacto. Pedimos la carne y quedo en su punto exacto. La porcion fue pequena para lo que ofrece el menu. Reservas al 3105551234.!!!
97,Casa Sazon,4,El mesero explico el menu con paciencia y fue cortes. El servicio fue regular y tuvimos que llamar varias veces. La atención en la mesa estuvo pendiente todo el tiempo. El mesero reviso el pedido antes de traerlo. El servicio fue mal y tuvimos que llamar varias veces. El servicio fue excelente y el mesero muy atento. La espera para que tomaran el pedido fue larga. Tomaron el pedido rápido y llego sin errores. La espera para que tomaran el pedido fue larga.
98,El Pirata del Sabor Vegano,2,Los precios subieron y ya no es economico. La cuenta salió cara y la factura traia cobros que no pedimos. El precio de la carta me parecio deficiente para lo que sirven. Cobran la propina sin avisar y el valor final sube.
